,comments
1211,很棒！！！！
1212,82w
1213,喜欢喜欢
1214,82万了
1215,加油加油
1216,喜欢
1217,有时候大多数人喜欢消费垃圾
1218,正常，什么人都有
1219,不死很多，也就几万吧
1220,111
1221,男人总有呢么几天是*
1222,80w
1223,80万！
1224,少了点啊
1225,喜欢呀~~~
1226,82.4
1227,有
1228,加油
1229,喜欢
1230,喜欢啊
1231,我哭了，尿了，你们呢
1232,莫胖也是无锡的？？？？？？？？？？？
1233,加油
1234,支持你们
1235,有意识
1236,加油
1237,加油你们
1238,计划失败，大大超额完成了
1239,80多万啦
1240,原谅我听到red舔狗瞬间笑了
1241,82W啦~
1242,所有固定的人设都会崩塌，做自己永远不会崩塌！这就是所谓的自媒体！
1243,82.7W了  加油~
1244,加油
1245,我也是会声会影起步
1246,好真实
1247,喜欢喜欢
1248,82
1249,喜欢！
1250,瘦了
1251,杨市
1252,哦不阳山
1253,八十万了
1254,给你个支持 哈哈 加油 82.9万了
1255,82.9万了
1256,两年后期，一样的心态
1257,82.9万啦
1258,你需要一个女朋友鼓励
1259,11月已经83万了
1260,当然会
1261,加油！
1262,加油！回来考古
1263,我币没了
1264,Uzi
1265,路转粉
1266,83.5万了
1267,今年可以上90万了
1268,棒
1269,说发了工资的不能叫“利润”的同志，怕不是有什么误会。UP主说得是“毛利”是含工资的。净利润才是去除工资的
1270,突然的狗粮……
1271,喜欢喜欢喜欢
1272,三联
1273,目前的状态了难受
1274,HUI
1275,爱你tim
1276,ngg
1277,11月25日  83.6万
1278,草
1279,爱你哦
1280,哈哈哈
1281,超级赞！
1282,支持你们！
1283,超棒1
1284,我也哭了
1285,对！
1286,是！
1287,是！加油！喜欢！
1288,喜欢！
1289,今天也是爱你的一天
1290,好！
1291,84万了
1292,会喜欢
1293,谢谢你的分享，我也想清楚李好多
1294,就喜欢你的这个小动作
1295,必须的
1296,84.1万
1297,TIM以前觉得帅现在觉得很可爱
1298,我也遇到了惰性
1299,喜欢up主，辛苦了，加油！
1300,喜欢
1301,84万了
1302,喜欢
1303,85万
1304,有啊！！！！
1305,我正在被点燃！
1306,116
1307,有钱真好
1308,会会会会会
1309,谢谢
1310,之前在留学？！
1311,拉导？！！！
1312,840000
1313,加油
1314,84.7万粉丝
1315,增加弹幕
1316,喜欢
1317,6666
1318,会会
1319,该拍电影了
1320,是呀是呀
1321,84W+
1322,真实更重要呀~
1323,喜欢
1324,他们可悲的自负在上演刺秦史录
1325,RED舔狗哈哈哈哈笑出声
1326,这个不是傻，道理谁都知道，但没有体感，是真的很难真正理解，并消化成自己的东西
1327,加油
1328,很真诚，有人格魅力
1329,你声音挺好听的
1330,up主家是有钱但是家庭教育更重要
1331,真的NB
1332,我的起步也是会声会影啊 还是试用版
1333,Yes！
1334,会！喜欢
1335,赞赞赞赞！
1336,加油！
1337,！喜欢
1338,会喜欢啊！
1339,厚积薄发
1340,经济基础决定上层建筑
1341,专业的分析师老爹
1342,有！！！！
1343,85.3万
1344,因为一个行业做久了 会疲惫，
1345,喜欢  加油!
1346,100w
1347,100w见
1348,+1
1349,你们很棒！
1350,何同学
1351,加油
1352,TIM长得特别像爸爸呀
1353,666
1354,666
1355,86.2
1356,真理性，原来理性挺有魅力的
1357,86.3w了
1358,第一次三连送给up，真诚最能打动人~
1359,80万了
1360,这里突然加了滤镜？
1361,80w
1362,我第一个用的是绘声绘影
1363,值了
1364,拖延癌初期
